precipitation,temp_max,temp_min,wind,weather
0.0,12.8,5.0,4.7,sun
10.9,10.6,2.8,4.5,rain
0.8,11.7,7.2,2.3,rain
20.3,12.2,5.6,4.7,rain
1.3,8.9,2.8,6.1,rain
2.5,4.4,2.2,2.2,rain
0.0,7.2,2.8,2.3,sun
0.0,10.0,2.8,2.0,sun
4.3,9.4,5.0,3.4,rain
1.0,6.1,0.6,3.4,rain
0.0,6.1,-1.1,5.1,sun
0.0,6.1,-1.7,1.9,sun
0.0,5.0,-2.8,1.3,sun
4.1,4.4,0.6,5.3,rain
5.3,1.1,-3.3,3.2,snow
2.5,1.7,-2.8,5.0,sun
8.1,3.3,0.0,5.6,rain
19.8,0.0,-2.8,5.0,rain
15.2,-1.1,-2.8,1.6,snow
13.5,7.2,-1.1,2.3,rain
3.0,8.3,3.3,8.2,rain
6.1,6.7,2.2,4.8,rain
0.0,8.3,1.1,3.6,sun
8.6,10.0,2.2,5.1,rain
8.1,8.9,4.4,5.4,rain
4.8,8.9,1.1,4.8,rain
0.0,6.7,-2.2,1.4,sun
0.0,6.7,0.6,2.2,sun
27.7,9.4,3.9,4.5,rain
3.6,8.3,6.1,5.1,rain
1.8,9.4,6.1,3.9,rain
13.5,8.9,3.3,2.7,rain
0.0,8.3,1.7,2.6,sun
0.0,14.4,2.2,5.3,sun
0.0,15.6,5.0,4.3,sun
0.0,13.9,1.7,2.9,sun
0.0,16.1,1.7,5.0,sun
0.3,15.6,7.8,5.3,rain
2.8,10.0,5.0,2.7,rain
2.5,11.1,7.8,2.4,rain
2.5,12.8,6.7,3.0,rain
0.8,8.9,5.6,3.4,rain
1.0,8.3,5.0,1.3,rain
11.4,7.2,4.4,1.4,rain
2.5,6.7,1.1,3.1,rain
0.0,7.2,0.6,1.8,sun
1.8,7.2,3.3,2.1,rain
17.3,10.0,4.4,3.4,rain
6.4,6.7,3.9,8.1,rain
0.0,6.7,2.2,4.7,sun
3.0,7.8,1.7,2.9,rain
0.8,10.0,7.8,7.5,rain
8.6,10.0,2.8,5.9,rain
0.0,8.3,2.8,3.9,sun
11.4,6.7,4.4,3.5,rain
0.0,7.2,2.8,6.4,rain
1.3,5.0,-1.1,3.4,snow
0.0,6.7,-2.2,3.0,sun
3.6,6.7,-0.6,4.2,rain
0.8,5.0,1.1,7.0,rain
0.0,6.1,1.1,3.1,sun
2.0,6.7,3.9,5.1,rain
0.0,12.2,6.7,7.0,sun
0.0,10.6,6.7,5.6,sun
6.9,7.8,1.1,6.2,rain
0.5,6.7,0.0,2.7,rain
0.0,8.9,-1.7,2.7,sun
0.0,15.6,0.6,2.5,sun
3.6,9.4,5.0,2.8,rain
10.4,7.2,6.1,3.4,rain
13.7,6.7,2.8,5.8,rain
19.3,8.3,0.6,6.2,rain
9.4,5.6,0.6,5.3,rain
8.6,7.8,1.1,4.7,rain
23.9,11.1,5.6,5.8,rain
8.4,8.9,3.9,5.1,rain
9.4,10.0,0.6,3.8,rain
3.6,5.0,-0.6,2.7,rain
2.0,7.2,-1.1,3.0,snow
3.6,7.8,2.2,6.4,rain
1.3,8.9,1.1,2.5,rain
4.1,10.0,1.7,2.1,rain
0.0,12.2,0.6,2.8,sun
0.0,15.0,3.3,5.2,sun
0.0,13.3,2.2,2.7,sun
0.0,12.8,6.1,4.3,sun
4.8,14.4,6.7,3.8,rain
1.3,10.6,7.2,5.9,rain
27.4,10.0,6.1,4.4,rain
5.6,9.4,5.0,4.7,rain
13.2,10.0,2.8,3.4,rain
1.5,8.9,4.4,6.8,rain
0.0,16.7,4.4,3.1,sun
1.5,11.7,3.3,3.1,rain
0.0,10.6,2.8,2.1,sun
4.6,9.4,2.8,1.8,rain
0.3,11.1,3.3,2.6,rain
0.0,16.1,1.7,4.3,sun
0.0,21.1,7.2,4.1,sun
0.0,20.0,6.1,2.1,sun
0.0,17.8,8.9,3.2,sun
2.3,11.1,7.2,2.6,rain
0.5,13.9,5.6,2.6,rain
0.0,15.0,3.9,4.0,sun
0.0,15.6,3.3,3.0,sun
0.0,16.1,7.2,2.9,sun
8.1,13.3,6.7,5.8,rain
1.8,10.0,4.4,2.0,rain
1.8,13.3,7.2,3.9,rain
10.9,13.9,5.0,2.6,rain
6.6,13.3,6.7,2.7,rain
0.0,20.0,4.4,2.3,sun
0.0,23.3,8.3,2.6,sun
0.0,21.7,8.9,3.5,sun
4.3,13.9,10.0,2.8,rain
10.7,16.7,8.9,2.6,rain
3.8,13.9,6.7,5.2,rain
0.8,13.3,6.1,4.8,rain
0.0,16.1,8.3,2.5,sun
4.3,15.6,8.9,1.6,rain
4.3,12.8,7.2,8.0,rain
0.5,11.7,6.1,6.4,rain
0.5,13.3,5.6,2.5,rain
18.5,11.1,7.2,3.4,rain
1.8,12.2,6.1,4.6,rain
0.0,13.3,5.0,2.3,sun
0.0,17.8,5.0,2.4,sun
0.0,23.9,6.1,2.2,sun
0.0,18.3,9.4,3.0,sun
0.0,13.3,6.7,3.9,sun
0.0,14.4,3.9,3.0,sun
0.0,18.3,4.4,4.3,sun
0.0,24.4,6.7,3.4,sun
0.0,25.6,9.4,4.2,sun
0.0,26.7,12.8,3.8,sun
0.0,24.4,9.4,4.1,sun
0.0,19.4,9.4,3.5,sun
0.0,17.8,6.7,2.9,sun
0.0,15.6,7.8,3.1,sun
0.0,19.4,7.2,1.5,sun
6.4,14.4,11.7,1.3,rain
14.0,16.7,10.0,4.0,rain
6.1,12.8,8.9,4.8,rain
0.3,14.4,8.9,6.3,rain
0.0,17.2,8.9,3.3,sun
0.0,22.2,8.9,3.1,sun
0.0,22.2,8.9,3.6,sun
0.0,17.2,11.7,3.7,sun
0.0,16.7,10.0,3.4,sun
0.0,16.1,7.8,1.8,sun
0.3,18.9,11.1,1.5,rain
3.8,17.8,12.2,2.7,rain
6.6,20.0,12.8,3.7,rain
0.3,18.9,10.6,3.7,rain
0.0,17.2,9.4,2.9,sun
1.3,12.8,8.9,3.1,rain
16.0,13.3,8.3,3.3,rain
0.0,16.1,6.1,3.4,sun
16.5,16.1,8.9,3.5,rain
1.5,15.0,8.3,3.0,rain
0.0,17.2,8.3,4.7,sun
0.0,18.9,10.0,2.9,sun
0.0,23.3,10.0,1.8,sun
0.8,18.3,12.8,3.9,rain
0.0,16.1,11.1,4.3,sun
0.0,17.2,10.0,2.7,sun
0.0,22.2,9.4,1.7,sun
0.0,21.1,15.0,4.1,sun
0.0,18.9,11.7,6.4,sun
3.0,17.2,10.0,3.8,rain
1.0,19.4,10.0,3.0,rain
0.0,24.4,10.0,3.0,sun
0.0,23.9,11.7,2.1,sun
15.7,13.9,11.7,1.9,rain
8.6,15.6,9.4,2.5,rain
0.0,19.4,9.4,2.0,sun
0.5,19.4,11.1,3.1,rain
0.0,18.3,10.6,3.4,sun
0.0,22.8,8.9,1.8,sun
0.0,22.2,11.7,2.5,sun
0.3,21.7,15.0,1.9,rain
3.0,20.0,13.3,2.4,rain
0.0,20.0,12.2,2.3,sun
2.0,18.9,11.7,2.1,rain
5.8,18.3,10.6,6.0,rain
0.0,20.6,9.4,3.8,sun
0.0,24.4,10.6,3.1,sun
0.0,25.0,11.1,2.1,sun
0.0,26.7,12.8,3.8,sun
0.0,28.3,14.4,2.8,sun
1.5,25.0,12.8,2.0,rain
0.0,23.9,11.1,2.3,sun
0.0,27.8,13.3,2.9,sun
0.0,25.6,13.3,2.7,sun
0.5,23.3,13.9,2.2,rain
0.0,25.0,15.0,2.2,sun
0.0,18.9,13.3,3.8,sun
0.3,26.1,13.3,2.5,rain
0.0,21.7,15.0,2.6,sun
0.0,21.1,14.4,2.9,sun
0.0,25.0,14.4,2.2,sun
15.2,19.4,13.9,4.0,rain
0.0,23.9,13.9,2.3,sun
1.0,20.6,12.2,3.9,rain
0.0,18.9,11.1,3.3,sun
0.0,23.3,12.2,4.3,sun
0.0,26.7,12.8,2.6,sun
0.0,25.6,12.8,2.2,sun
0.0,18.9,13.9,2.8,sun
0.0,22.2,13.3,1.7,sun
0.0,22.8,15.0,2.0,sun
0.0,19.4,13.3,3.0,sun
0.0,22.8,13.9,2.8,sun
0.0,23.9,13.3,2.2,sun
0.0,23.3,12.2,2.5,sun
0.0,27.2,12.8,3.9,sun
0.0,33.9,16.7,3.7,sun
0.0,33.9,17.8,1.9,sun
0.0,28.3,15.6,2.5,sun
0.0,21.1,15.0,2.6,sun
0.0,22.2,15.0,3.1,sun
0.0,24.4,14.4,3.8,sun
0.0,25.6,12.2,2.3,sun
0.0,28.3,13.3,2.5,sun
0.0,30.6,15.0,3.0,sun
0.0,30.6,15.0,2.8,sun
0.0,28.9,13.9,2.8,sun
0.0,31.1,16.7,4.7,sun
0.0,34.4,18.3,2.8,sun
0.0,32.8,16.1,1.8,sun
0.0,21.7,14.4,3.0,sun
0.0,23.3,15.0,2.7,sun
0.0,25.6,15.0,1.9,sun
0.0,23.3,13.3,3.0,sun
0.0,22.2,13.3,2.3,sun
0.0,21.1,13.9,3.8,sun
0.0,22.2,10.0,3.3,sun
0.0,26.1,11.7,3.2,sun
0.0,21.1,12.2,3.4,sun
0.0,23.9,13.3,1.8,sun
0.0,22.8,12.2,3.2,sun
0.0,22.8,13.3,2.4,sun
0.0,22.8,12.8,1.9,sun
0.0,22.2,10.6,2.9,sun
0.0,21.7,10.6,2.1,sun
0.0,21.1,10.0,2.0,sun
0.0,22.8,12.8,3.3,sun
0.0,24.4,11.1,3.1,sun
0.0,26.1,11.7,2.6,sun
0.0,28.3,14.4,4.2,sun
